0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Job_Title,Salary_Estimate,Rating,Company_Name,Location,Size,Type_Of_Ownership,Industry,Min_Salary,Max_Salary,Avg_Salary,Job_State,Same_State,Company_Age,Python,Excel,Hadoop,Spark,Aws,Tableau,Big_Data,Seniority,Hq_State
Health Data Scientist - Biomedical/Biostats,99-132 ,4.1,Evidation,"Santa Barbara, CA",51 to 200 employees,Company - Private,Internet,99,132,115, CA,0,8,1,0,0,0,0,0,0,,CA
Senior Data Scientist,99-132 ,4.0,Autodesk,"San Francisco, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,99,132,115, CA,0,38,1,0,1,1,0,0,1,senior,CA
Staff Data Scientist,99-132 ,4.4,Intuit - Data,"San Diego, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,99,132,115, CA,0,37,0,0,0,0,0,0,0,,CA
Data Scientist,99-132 ,3.8,Tecolote Research,"Hill AFB, UT",501 to 1000 employees,Company - Private,Aerospace & Defense,99,132,115, UT,0,47,1,1,0,0,0,1,0,,CA
Sr Data Engineer (Sr BI Developer),99-132 ,3.2,Tivity Health,"Chandler, AZ",501 to 1000 employees,Company - Public,Health Care Services & Hospitals,99,132,115, AZ,0,39,0,0,1,0,0,0,1,senior,TN
Data Engineer,99-132 ,2.9,hc1,"Indianapolis, IN",51 to 200 employees,Company - Private,Biotech & Pharmaceuticals,99,132,115, IN,1,9,1,0,0,0,1,0,0,,IN
Lead Data Scientist,99-132 ,4.1,HP Inc.,"San Diego, CA",10000+ employees,Company - Public,Computer Hardware & Software,99,132,115, CA,0,81,1,1,1,0,1,0,1,senior,CA
Data Scientist,99-132 ,3.7,SAIC,"Chantilly, VA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,99,132,115, VA,0,7,1,0,0,0,0,0,0,,VA
RFP Data Analyst,99-132 ,3.2,AllianceBernstein,"Nashville, TN",1001 to 5000 employees,Company - Public,Investment Banking & Asset Management,99,132,115, TN,0,53,0,1,0,1,0,0,0,,NY
Data Analyst,99-132 ,4.9,Big Huge Games,"Timonium, MD",51 to 200 employees,Subsidiary or Business Segment,Video Games,99,132,115, MD,0,7,0,1,0,0,0,1,0,,MD
Data Scientist (TS/SCI),99-132 ,3.5,Maxar Technologies,"Herndon, VA",5001 to 10000 employees,Company - Public,Aerospace & Defense,99,132,115, VA,0,-1,1,0,0,0,0,0,1,,CO
Data Engineer,99-132 ,5.0,Phantom AI,"Burlingame, CA",1 to 50 employees,Company - Private,Computer Hardware & Software,99,132,115, CA,1,4,1,0,0,0,0,0,0,,CA
Data Scientist,99-132 ,4.0,Noblis,"Reston, VA",1001 to 5000 employees,Nonprofit Organization,Consulting,99,132,115, VA,1,24,1,0,1,1,1,1,0,,VA
